,0
unit,1.539007347582921
use,1.5357333113790763
jose,1.5342240587491642
sqlite,1.5258629489843996
analytics,1.524141500036424
basic,1.518586912595843
support,1.518014195861301
control,1.5148481684948778
client,1.5139581443921133
frameworks,1.5105621868260157
photoshop,1.5007084987334678
rpa,1.496703682491132
sqoop,1.4832828706952574
va,1.4729033723812806
languages,1.4690449655485014
time,1.4670267584265877
security,1.4585348755158436
scala,1.4571956745926944
ide,1.456775287351791
network,1.4427424543573613
micro,1.4418522501028763
administration,1.4373889965754527
iowa,1.4301869397621116
knowledge,1.4301347431036462
operating,1.4264710201425974
bash,1.4246122336175908
uml,1.4238711814337486
consulting,1.4165530909251902
azure,1.415129198643013
ios,1.4087553148820755
big,1.4068461968348323
austin,1.3892233818819517
washington,1.3823771159854321
